SN,Name,brand,Production Year, Price , price_old , Price_new ,Color,Type
76,2019 Jeep Wrangler,Jeep,2019,"$57,795                            
+ tax & lic","$57,795 ","57,795.00",FIRECRACKER RED,Convertible
77,2007 BMW 328i,BMW,2007,"$22,885                            
+ tax & lic","$22,885 ","22,885.00",Alpine White,Convertible
78,2015 Jeep Wrangler,Jeep,2015,"$25,998                            
+ tax & lic","$25,998 ","25,998.00",Black,Convertible
79,2022 Mercedes-Benz SL-Class,Mercedes-Benz,2022,"$228,855                            
+ tax & lic","$228,855 ","228,855.00",MANUFAKTUR OPALITH WHITE MET,Convertible
80,2021 Mazda Miata MX-5,Mazda,2021,"$45,000                            
+ tax & lic","$45,000 ","45,000.00",Jet Black Mica,Convertible
81,2019 BMW i8,BMW,2019,"$146,888                            
+ tax & lic","$146,888 ","146,888.00",White,Convertible
82,2022 Ford Bronco,Ford,2022,"$65,229                            
+ tax & lic","$65,229 ","65,229.00",Cyber Orange Metallic Tri-Coat,Convertible
83,1976 Triumph Spitfire,Triumph,1976,"$11,888                            
+ tax & lic","$11,888 ","11,888.00",Yellow,Convertible
84,2019 Jeep Wrangler,Jeep,2019,"$54,995                            
+ tax & lic","$54,995 ","54,995.00",Yellow,Convertible
85,2018 Jeep Wrangler,Jeep,2018,"$39,995                            
+ tax & lic","$39,995 ","39,995.00",Granite Crystal Metallic Clearcoat,Convertible
86,2020 Ford Mustang,Ford,2020,"$35,995                            
+ tax & lic","$35,995 ","35,995.00",Blue,Convertible
87,2012 Fiat 500,Fiat,2012,"$9,958                            
+ tax & lic","$9,958 ","9,958.00",Brown,Convertible
88,2021 Jeep Wrangler,Jeep,2021,"$69,995                            
+ tax & lic","$69,995 ","69,995.00",Sting-Grey,Convertible
89,2022 Jeep Wrangler,Jeep,2022,"$59,995                            
+ tax & lic","$59,995 ","59,995.00",Sarge Green,Convertible
90,2015 Ford Mustang,Ford,2015,"$28,995                            
+ tax & lic","$28,995 ","28,995.00",Black,Convertible
91,2015 Audi A3,Audi,2015,"$32,800                            
+ tax & lic","$32,800 ","32,800.00",Red,Convertible
92,2021 Mercedes-Benz E-Class,Mercedes-Benz,2021,"$95,910                            
+ tax & lic","$95,910 ","95,910.00",Silver,Convertible
93,2019 Ford Mustang,Ford,2019,"$48,900                            
+ tax & lic","$48,900 ","48,900.00",Blue,Convertible
94,2022 Ford Bronco,Ford,2022,"$74,334                            
+ tax & lic","$74,334 ","74,334.00",Velocity Blue Metallic,Convertible
95,2000 Ford Mustang,Ford,2000," $10,495                            
+ tax & lic ","$10,495 ","10,495.00",Burgundy,Convertible
96,2013 Smart fortwo,Smart,2013,"$9,995                            
+ tax & lic","$9,995 ","9,995.00",Crystal White,Convertible
97,2013 Audi S5,Audi,2013,"$28,888                            
+ tax & lic","$28,888 ","28,888.00",Black,Convertible
98,2005 Toyota MR2,Toyota,2005,"$18,900                            
+ tax & lic","$18,900 ","18,900.00",Red,Convertible
99,2007 BMW M6,BMW,2007,"$49,995                            
+ tax & lic","$49,995 ","49,995.00",Black,Convertible
100,2023 Jeep Wrangler,Jeep,2023,"$64,714                            
+ tax & lic","$64,714 ","64,714.00",Silver Zynith,Convertible
101,2019 Mazda Miata MX-5,Mazda,2019,"$38,888                            
+ tax & lic","$38,888 ","38,888.00",White,Convertible
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
